epoch,acc,loss,lr,val_acc,val_loss
0,0.721375,0.9703426724076271,0.001,0.3584375,4.246925139427185
1,0.8633034987906875,0.4159808677547214,0.001,0.6370625,1.6884311519861221
2,0.902375,0.3035236634165049,0.001,0.722125,1.1234982429742812
3,0.9237654127883338,0.23423506179903164,0.001,0.8938125,0.3626751593761146
4,0.9263125,0.22400034308992325,0.001,0.758625,1.2495465044379235
5,0.938125,0.19621929705888033,0.001,0.8665625,0.5260403139218688
6,0.94075,0.1770373513745144,0.001,0.922625,0.2639373069354333
7,0.9450460036302184,0.17025086194124786,0.001,0.7855,0.8255426247268915
8,0.9482380922576203,0.16154831981300047,0.001,0.850625,0.6398672009073197
9,0.948625,0.15993886677455157,0.001,0.87725,0.3966619459837675
10,0.9521186706001636,0.15119182745095838,0.001,0.8994375,0.356669364368543
11,0.953125,0.1461218454502523,0.001,0.8703125,0.4536778410598636
12,0.9793453088852478,0.06330411944466306,0.00020000001,0.9850625,0.04623104931597481
13,0.9835625,0.04602491491113324,0.00020000001,0.9824375,0.0602330823658267
14,0.9845,0.04374705935892416,0.00020000001,0.9860625,0.04372383817291848
15,0.9879827251674281,0.035825236821721444,0.00020000001,0.9781875,0.06767202993165483
16,0.986125,0.03809025170939276,0.00020000001,0.984,0.04888689474259445
17,0.988125,0.03430170138657559,0.00020000001,0.986875,0.0408907099219523
18,0.9871064655442198,0.03865347930174882,0.00020000001,0.980875,0.05806252312480501
19,0.9890625,0.03329006274315179,0.00020000001,0.9855,0.04776914576527997
