label	pred	count	label_name	pred_name	label_specie	pred_specie	specie_error
0	1	1	Apple___apple_scab	Apple___black_rot	Apple	Apple	0
2	1	1	Apple___cedar_apple_rust	Apple___black_rot	Apple	Apple	0
0	37	1	Apple___apple_scab	Tomato___yellow_leaf_curl_virus	Apple	Tomato	1
28	37	9	Tomato___bacterial_spot	Tomato___yellow_leaf_curl_virus	Tomato	Tomato	0
32	37	2	Tomato___leaf_mold	Tomato___yellow_leaf_curl_virus	Tomato	Tomato	0
3	5	1	Apple___healthy	Cherry___healthy	Apple	Cherry	1
24	5	1	Soybean___healthy	Cherry___healthy	Soybean	Cherry	1
5	27	1	Cherry___healthy	Strawberry___leaf_scorch	Cherry	Strawberry	1
8	7	2	Corn___gray_leaf_spot	Corn___common_rust	Corn	Corn	0
10	7	2	Corn___northern_leaf_blight	Corn___common_rust	Corn	Corn	0
8	10	3	Corn___gray_leaf_spot	Corn___northern_leaf_blight	Corn	Corn	0
10	8	10	Corn___northern_leaf_blight	Corn___gray_leaf_spot	Corn	Corn	0
12	11	1	Grape___black_rot	Grape___black_measels	Grape	Grape	0
15	31	1	Orange___citrus_greening	Tomato___late_blight	Orange	Tomato	1
29	31	1	Tomato___early_blight	Tomato___late_blight	Tomato	Tomato	0
37	31	1	Tomato___yellow_leaf_curl_virus	Tomato___late_blight	Tomato	Tomato	0
18	19	1	Pepper_bell___bacterial_spot	Pepper_bell___healthy	Pepper_bell	Pepper_bell	0
21	19	1	Potato___healthy	Pepper_bell___healthy	Potato	Pepper_bell	1
24	19	2	Soybean___healthy	Pepper_bell___healthy	Soybean	Pepper_bell	1
19	16	1	Pepper_bell___healthy	Peach___bacterial_spot	Pepper_bell	Peach	1
30	16	1	Tomato___healthy	Peach___bacterial_spot	Tomato	Peach	1
21	15	1	Potato___healthy	Orange___citrus_greening	Potato	Orange	1
21	36	1	Potato___healthy	Tomato___target_spot	Potato	Tomato	1
28	36	1	Tomato___bacterial_spot	Tomato___target_spot	Tomato	Tomato	0
29	36	2	Tomato___early_blight	Tomato___target_spot	Tomato	Tomato	0
23	26	2	Raspberry___healthy	Strawberry___healthy	Raspberry	Strawberry	1
29	28	1	Tomato___early_blight	Tomato___bacterial_spot	Tomato	Tomato	0
29	33	1	Tomato___early_blight	Tomato___leaf_spot	Tomato	Tomato	0
31	29	2	Tomato___late_blight	Tomato___early_blight	Tomato	Tomato	0
31	30	2	Tomato___late_blight	Tomato___healthy	Tomato	Tomato	0
36	30	2	Tomato___target_spot	Tomato___healthy	Tomato	Tomato	0
33	18	2	Tomato___leaf_spot	Pepper_bell___bacterial_spot	Tomato	Pepper_bell	1
33	34	1	Tomato___leaf_spot	Tomato___mosaic_virus	Tomato	Tomato	0
36	35	1	Tomato___target_spot	Tomato___spider_mites	Tomato	Tomato	0
37	35	1	Tomato___yellow_leaf_curl_virus	Tomato___spider_mites	Tomato	Tomato	0
